Date/Time,avg
2024-08-23 00:00:00,44.08
2024-08-22 00:00:00,47.38
2024-08-21 00:00:00,47.35
2024-08-20 00:00:00,50.3
2024-08-19 00:00:00,36.93
2024-08-18 00:00:00,39.38
2024-08-17 00:00:00,37.82
2024-08-16 00:00:00,42.7
2024-08-15 00:00:00,37.44
2024-08-14 00:00:00,37.18
2024-08-13 00:00:00,39.14
2024-08-12 00:00:00,44.72
2024-08-11 00:00:00,45.77
2024-08-10 00:00:00,44.3
2024-08-09 00:00:00,47.27
2024-08-08 00:00:00,44.61
2024-08-07 00:00:00,46.8
2024-08-06 00:00:00,53.45
2024-08-05 00:00:00,54.19
2024-08-04 00:00:00,54.76
2024-08-03 00:00:00,57.69
2024-08-02 00:00:00,52.08
2024-08-01 00:00:00,40.24
2024-07-31 00:00:00,41.86
2024-07-30 00:00:00,43.23
2024-07-29 00:00:00,39.5
2024-07-28 00:00:00,45.4
2024-07-27 00:00:00,49.71
2024-07-26 00:00:00,53.81
2024-07-25 00:00:00,54.86
2024-07-24 00:00:00,71.75
2024-07-23 00:00:00,70.42
2024-07-22 00:00:00,70.54
2024-07-21 00:00:00,82.5
2024-07-20 00:00:00,67.15
2024-07-19 00:00:00,54.45
2024-07-18 00:00:00,58.13
2024-07-17 00:00:00,47.38
2024-07-16 00:00:00,46.54
2024-07-15 00:00:00,53.7
2024-07-14 00:00:00,45.22
2024-07-13 00:00:00,41.84
2024-07-12 00:00:00,48.5
2024-07-11 00:00:00,54.57
2024-07-10 00:00:00,54.15
2024-07-09 00:00:00,53.3
2024-07-08 00:00:00,54.14
2024-07-07 00:00:00,55.69
2024-07-06 00:00:00,63.56
2024-07-05 00:00:00,58.9
2024-07-04 00:00:00,67.62
2024-07-03 00:00:00,71.87
2024-07-02 00:00:00,100
2024-07-01 00:00:00,56.24
2024-06-30 00:00:00,67.9
2024-06-29 00:00:00,72.25
2024-06-28 00:00:00,75.98
2024-06-27 00:00:00,79.03
2024-06-26 00:00:00,86.53
2024-06-25 00:00:00,59.09
2024-06-24 00:00:00,64.81
2024-06-23 00:00:00,71.57
2024-06-22 00:00:00,60.3
2024-06-21 00:00:00,60.05
2024-06-20 00:00:00,56.8
2024-06-19 00:00:00,55.23
2024-06-18 00:00:00,58.47
2024-06-17 00:00:00,61.64
2024-06-16 00:00:00,57.57
2024-06-15 00:00:00,57.87
2024-06-14 00:00:00,70.75
2024-06-13 00:00:00,90.14
2024-06-12 00:00:00,83.03
2024-06-11 00:00:00,73.35
2024-06-10 00:00:00,57.68
2024-06-09 00:00:00,58.36
2024-06-08 00:00:00,57.98
2024-06-07 00:00:00,57.61
2024-06-06 00:00:00,65
2024-06-05 00:00:00,72.43
2024-06-04 00:00:00,71
2024-06-03 00:00:00,92.63
2024-06-02 00:00:00,47.88
2024-06-01 00:00:00,58.37
2024-05-31 00:00:00,74.61
2024-05-30 00:00:00,75.59
2024-05-29 00:00:00,65.92
2024-05-28 00:00:00,60.23
2024-05-27 00:00:00,70.56
2024-05-26 00:00:00,55.17
2024-05-25 00:00:00,67.37
2024-05-24 00:00:00,84.51
2024-05-23 00:00:00,92.87
2024-05-22 00:00:00,79.92
2024-05-21 00:00:00,63.28
2024-05-20 00:00:00,68.6
2024-05-19 00:00:00,60.55
2024-05-18 00:00:00,54.91
2024-05-17 00:00:00,57.25
2024-05-16 00:00:00,59.41
2024-05-15 00:00:00,63.89
2024-05-14 00:00:00,61.92
2024-05-13 00:00:00,65.73
2024-05-12 00:00:00,73.15
2024-05-11 00:00:00,56.46
2024-05-10 00:00:00,52.76
2024-05-09 00:00:00,76.61
2024-05-08 00:00:00,81.37
2024-05-07 00:00:00,71.48
2024-05-06 00:00:00,64.81
2024-05-05 00:00:00,73.52
2024-05-04 00:00:00,85.48
2024-05-03 00:00:00,99.78
2024-05-02 00:00:00,57.28
2024-05-01 00:00:00,49.99
2024-04-30 00:00:00,50.86
2024-04-29 00:00:00,48.23
2024-04-28 00:00:00,58.12
2024-04-27 00:00:00,57.99
2024-04-26 00:00:00,68.79
2024-04-25 00:00:00,78.43
2024-04-24 00:00:00,91.46
2024-04-23 00:00:00,81.54
2024-04-22 00:00:00,70.48
2024-04-21 00:00:00,72.73
2024-04-20 00:00:00,57.71
2024-04-19 00:00:00,69.24
2024-04-18 00:00:00,94.93
2024-04-17 00:00:00,99.64
2024-04-16 00:00:00,52.28
2024-04-15 00:00:00,45.33
2024-04-14 00:00:00,51.05
2024-04-13 00:00:00,57.39
2024-04-12 00:00:00,63.75
2024-04-11 00:00:00,64.43
2024-04-10 00:00:00,37.48
2024-04-09 00:00:00,41.14
2024-04-08 00:00:00,47.12
2024-04-07 00:00:00,55.05
2024-04-06 00:00:00,54.67
2024-04-05 00:00:00,54.94
2024-04-04 00:00:00,51.43
2024-04-03 00:00:00,59.54
2024-04-02 00:00:00,54.22
2024-04-01 00:00:00,27.54
2024-03-31 00:00:00,33.41
2024-03-30 00:00:00,44.03
2024-03-29 00:00:00,53.82
2024-03-28 00:00:00,57.27
2024-03-27 00:00:00,73.1
2024-03-26 00:00:00,64.25
2024-03-25 00:00:00,78.79
2024-03-24 00:00:00,84.81
2024-03-23 00:00:00,46.25
2024-03-22 00:00:00,51.41
2024-03-21 00:00:00,54.64
2024-03-20 00:00:00,54.27
2024-03-19 00:00:00,56.04
2024-03-18 00:00:00,64.21
2024-03-17 00:00:00,70.71
2024-03-16 00:00:00,69.38
2024-03-15 00:00:00,70.82
2024-03-14 00:00:00,86.89
2024-03-13 00:00:00,91.57
2024-03-12 00:00:00,72.1
2024-03-11 00:00:00,64.57
2024-03-10 00:00:00,68.93
2024-03-09 00:00:00,76.72
2024-03-08 00:00:00,80.68
2024-03-07 00:00:00,92.57
2024-03-06 00:00:00,90.51
2024-03-05 00:00:00,63.59
2024-03-04 00:00:00,67.72
2024-03-03 00:00:00,70.27
2024-03-02 00:00:00,77.12
2024-03-01 00:00:00,66.73
2024-02-29 00:00:00,63.06
2024-02-28 00:00:00,56.69
2024-02-27 00:00:00,60.86
2024-02-26 00:00:00,65.55
2024-02-25 00:00:00,75.48
2024-02-24 00:00:00,69.89
2024-02-23 00:00:00,52.3
2024-02-22 00:00:00,74.15
